id,session_id,problem_id,confidence,challenge,ai_predicted_confidence,ai_predicted_challenge,phase,knowledge_component,description_main,description_sub,human_gap,ai_gap,gap_difference
b2fd9940-45a7-4d5a-a4f5-803ed0f657d1,1c6b12f7-f8d9-4109-bf87-09b3975f7829,2-7-(2),3,3,2,5,final_check,行列演算と逆行列,"次を満たす2次正方行列 $P, Q_\theta, R_\theta$ を定めよ。","点 $(x,y)$ を原点の周りに角 $\theta$ だけ回転移動した点を $(x',y')$ とするとき、2点の関係を $\begin{bmatrix}x'\\ y'\end{bmatrix}=Q_\theta\begin{bmatrix}x\\ y\end{bmatrix}$ の形に書き表せ。",0,-3,3
68ac2049-a759-41bc-8f09-b0ab65b5cd7c,1c6b12f7-f8d9-4109-bf87-09b3975f7829,2-7-(3),3,3,2,5,final_check,行列演算と逆行列,"次を満たす2次正方行列 $P, Q_\theta, R_\theta$ を定めよ。","原点の周りに角 $\theta$ だけ回転移動した直線を $l_\theta$ とする。点 $(x,y)$ を $l_\theta$ に関して対称移動した点を $(x',y')$ とするとき、2点の関係を $\begin{bmatrix}x'\\ y'\end{bmatrix}=R_\theta\begin{bmatrix}x\\ y\end{bmatrix}$ の形に書き表せ。",0,-3,3
b293c268-f63a-4596-91f6-fe228857dfcf,1c6b12f7-f8d9-4109-bf87-09b3975f7829,2-Rep-2,3,3,5,2,final_check,行列演算と逆行列,"$X=\begin{bmatrix}1&1\\ -1&1\\ 2&1\end{bmatrix}, Y=\begin{bmatrix}-1&2\\ 1&-1\end{bmatrix}$ とする。","$XY, YX, XY'X, Y'XY, XYX$ のうちで積が定義されているものをすべて挙げ、それぞれ積を求めよ。",0,3,3
88aedab5-74a5-41a5-a37b-a62903bb9eb0,1c6b12f7-f8d9-4109-bf87-09b3975f7829,4-1-(1),3,3,6,1,final_check,行列演算と逆行列,次の行列に行基本変形を行い、簡約行列に変形せよ。,$\begin{bmatrix}0&-1&2\\ 1&0&-1\\ 0&0&0\end{bmatrix}$,0,5,5
da262e06-baeb-4812-8e44-0ff4dedacf18,1c6b12f7-f8d9-4109-bf87-09b3975f7829,4-Rep-2,3,3,3,3,final_check,行列演算と逆行列,次の行列の階数を求めよ。($a$ の値に応じて場合分けせよ),$\begin{bmatrix}a&2a+2&5\\ a+3&a^2&2\\ -1&1&1\end{bmatrix}$,0,0,0
65738690-4a6b-45ab-9f98-4f987547e059,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-1-(2),3,3,3,3,final_check,行列演算と逆行列,"$A=\begin{bmatrix}a&b\\ c&d\end{bmatrix}, \tilde{A}=\begin{bmatrix}d&-b\\ -c&a\end{bmatrix}, B=\begin{bmatrix}e&f\\ g&h\end{bmatrix}$ とする。",$A\tilde{A}$ を計算せよ。,0,0,0
796ce63b-eedb-43df-9db0-1c50042f2711,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-1-(5),3,3,1,6,final_check,行列演算と逆行列,"$A=\begin{bmatrix}a&b\\ c&d\end{bmatrix}, \tilde{A}=\begin{bmatrix}d&-b\\ -c&a\end{bmatrix}, B=\begin{bmatrix}e&f\\ g&h\end{bmatrix}$ とする。",$|A|\neq 0$ と $A$ が正則であることは同値であることを示せ。,0,-5,5
1516805a-c704-48a5-9ced-1ec0bab33567,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-2-(1),3,3,3,3,final_check,行列演算と逆行列,以下の行列が正則かどうか調べよ。さらに、正則であれば逆行列を求めよ。,$\begin{bmatrix}e^x&-1\\ 0&e^y\end{bmatrix}$,0,0,0
77664f4e-0469-4bfb-a55f-c1bf8c95bb3e,1c6b12f7-f8d9-4109-bf87-09b3975f7829,2-4-(3),3,3,5,2,final_check,行列演算と逆行列,"$A=\begin{bmatrix}2&-1&1\\ 1&0&-1\end{bmatrix}, B=\begin{bmatrix}-2&1&2\\ 2&3&1\end{bmatrix}, C=\begin{bmatrix}2&-1&0\\ -3&0&2\\ 0&1&4\end{bmatrix}$ のとき、次の行列を求めよ。",$BC$,0,3,3
f52c2c4e-5192-46b4-94cd-d967e5ebeb1e,1c6b12f7-f8d9-4109-bf87-09b3975f7829,2-4-(4),3,3,4,2,final_check,行列演算と逆行列,"$A=\begin{bmatrix}2&-1&1\\ 1&0&-1\end{bmatrix}, B=\begin{bmatrix}-2&1&2\\ 2&3&1\end{bmatrix}, C=\begin{bmatrix}2&-1&0\\ -3&0&2\\ 0&1&4\end{bmatrix}$ のとき、次の行列を求めよ。",$A C^t B^t$,0,2,2
e5237214-2392-453d-9eed-b800f14142cf,1c6b12f7-f8d9-4109-bf87-09b3975f7829,2-7-(1),3,3,2,5,final_check,行列演算と逆行列,"次を満たす2次正方行列 $P, Q_\theta, R_\theta$ を定めよ。","点 $(x,y)$ を $x$ 軸に関して対称移動した点を $(x',y')$ とするとき、2点の関係を $\begin{bmatrix}x'\\ y'\end{bmatrix}=P\begin{bmatrix}x\\ y\end{bmatrix}$ の形に書き表せ。",0,-3,3
34d88dbe-0efa-4914-975c-5a898bc3a8f7,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-2-(2),3,3,3,3,final_check,行列演算と逆行列,以下の行列が正則かどうか調べよ。さらに、正則であれば逆行列を求めよ。,$\begin{bmatrix}\lambda&-1\\ 1&\lambda-2\end{bmatrix}$,0,0,0
420113b0-f4ed-4220-bfa2-56aafe402ce0,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-2-(3),3,3,5,2,final_check,行列演算と逆行列,以下の行列が正則かどうか調べよ。さらに、正則であれば逆行列を求めよ。,$\begin{bmatrix}2&1&3\\ 3&2&5\\ 1&2&3\end{bmatrix}$,0,3,3
a0312fb5-028a-4f1d-9336-a6cf4ccda803,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-2-(4),3,3,5,2,final_check,行列演算と逆行列,以下の行列が正則かどうか調べよ。さらに、正則であれば逆行列を求めよ。,$\begin{bmatrix}1&1&-2\\ 3&2&-4\\ -2&0&2\end{bmatrix}$,0,3,3
f6be608c-bb98-49c4-872d-30763fd34222,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-2-(5),3,3,4,3,final_check,行列演算と逆行列,以下の行列が正則かどうか調べよ。さらに、正則であれば逆行列を求めよ。,$\begin{bmatrix}0&0&1&0\\ 0&-1&0&0\\ -1&0&2&0\\ 0&1&-1&1\end{bmatrix}$,0,1,1
55c6c161-19bb-4b2f-ac5b-d62983adc285,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-4-(1),3,3,4,2,final_check,行列演算と逆行列,"$A=\begin{bmatrix}1&1&0\\ 2&3&-2\\ 3&4&-3\end{bmatrix}, B=\begin{bmatrix}0&-1&2\\ 1&0&-3\\ -2&3&0\end{bmatrix}$ に対して以下の問いに答えよ。",$AX=B$ を満たす3次正方行列 $X$ を求めよ。,0,2,2
9a0c23da-0325-4615-8fa9-a59f0059b5f4,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-4-(2),3,3,4,2,final_check,行列演算と逆行列,"$A=\begin{bmatrix}1&1&0\\ 2&3&-2\\ 3&4&-3\end{bmatrix}, B=\begin{bmatrix}0&-1&2\\ 1&0&-3\\ -2&3&0\end{bmatrix}$ に対して以下の問いに答えよ。",$YA=B$ を満たす3次正方行列 $Y$ を求めよ。,0,2,2
31e35ee9-1bd9-4490-bff0-5312ac774e8c,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-6-(1),3,3,2,4,final_check,行列演算と逆行列,正方行列 $A$ が $^tAA=E$ を満たすとき $A$ を直交行列という。以下の行列について答えよ。,$P=\begin{bmatrix}\cos\theta&-\sin\theta\\ \sin\theta&\cos\theta\end{bmatrix}$ は直交行列であることを示せ。さらに、$P$ の逆行列を求めよ。,0,-2,2
fa92b635-31be-40dc-b28a-12249820791c,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-6-(2),3,3,2,5,final_check,行列演算と逆行列,正方行列 $A$ が $^tAA=E$ を満たすとき $A$ を直交行列という。以下の行列について答えよ。,$Q=\begin{bmatrix}\sin\theta\cos\varphi&\cos\theta\cos\varphi&-\sin\varphi\\ \sin\theta\sin\varphi&\cos\theta\sin\varphi&\cos\varphi\\ \cos\theta&-\sin\theta&0\end{bmatrix}$ は直交行列であることを示せ。さらに、$Q$ の逆行列を求めよ。,0,-3,3
d505855c-0ab3-4cb6-bbdb-7c0a6d0a988a,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-6-(3),3,3,2,5,final_check,行列演算と逆行列,正方行列 $A$ が $^tAA=E$ を満たすとき $A$ を直交行列という。以下の行列について答えよ。,問5(3)の行列を $R$ とする。$r\sin\theta \neq 0$ のとき、$R$ の逆行列を求めよ。,0,-3,3
fb7bd0af-5939-44ae-9ab5-981cd295171e,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-Rep-1-(ii),3,3,5,2,final_check,行列演算と逆行列,$A=\begin{bmatrix}2&k&4\\ 1&1&-1\\ 4&2&1\end{bmatrix}$ とする。,$k=-1$ のとき、$A$ の逆行列 $A^{-1}$ を求めよ。,0,3,3
fadf3013-a9f8-4747-8ca9-8825dc650f5c,1c6b12f7-f8d9-4109-bf87-09b3975f7829,10-2-(2),3,3,1,6,final_check,行列演算と逆行列,$n$ 次正方行列 $A$ の余因子行列を $\tilde{A}$、$n$ 次単位行列を $E$ とする。,$|\tilde{A}|$ を $|A|$ を用いて表せ。,0,-5,5
35062d22-c89d-4302-a1d4-2b2a1431fabc,1c6b12f7-f8d9-4109-bf87-09b3975f7829,10-6-(1),3,3,3,3,final_check,行列演算と逆行列,次の行列 $A$ の余因子行列 $\tilde{A}$ を求め、さらに $A$ が正則である場合には $A^{-1}$ を求めよ。\n$A=\begin{bmatrix}0&1&1\\ 1&0&1\\ 1&1&0\end{bmatrix}$,$\tilde{A}$ を求めよ。また $A^{-1}$ を求めよ。,0,0,0
d09aab43-d78c-4096-9281-d0bbd54f57db,1c6b12f7-f8d9-4109-bf87-09b3975f7829,10-Rep-1-(ii),3,3,3,3,final_check,行列演算と逆行列,"次の2つの行列 $A, B$ を考える。\n$A=\begin{bmatrix}1&0&-1&1\\ 2&1&0&1\\ 1&1&-1&0\\ 0&3&2&1\end{bmatrix}, B=\begin{bmatrix}4&-4&-3&9\\ 3&-1&-4&5\\ 8&5&-8&-9\\ 3&0&4&8\end{bmatrix}$","$A$ の余因子行列の $(4,1)$ 成分を求めよ。さらにそれを用いて、$A^{-1}$ の $(4,1)$ 成分を求めよ。",0,0,0
4d445c91-d99a-4441-8cc9-04c3a092713f,1c6b12f7-f8d9-4109-bf87-09b3975f7829,7-(15),3,3,3,3,final_check,行列演算と逆行列,"$a_1=\begin{bmatrix}1\\ 0\\ 2\\ 3\end{bmatrix}, a_2=\begin{bmatrix}1\\ 1\\ -2\\ 2\end{bmatrix}, a_3=\begin{bmatrix}3\\ 2\\ 1\\ 0\end{bmatrix}, b=\begin{bmatrix}1\\ 1\\ 4\\ k\end{bmatrix}$ について、次の問いに答えよ。","$b=c_1a_1+c_2a_2+c_3a_3$ を満たす実数 $c_1,c_2,c_3$ が存在するための $k$ の条件を求めよ。",0,0,0
2f32838b-ed5d-4eff-a1d2-ab7521081a1f,1c6b12f7-f8d9-4109-bf87-09b3975f7829,6-(12),3,3,3,3,final_check,行列演算と逆行列,行列 $\begin{bmatrix}2&1&1\\ 1&-2&0\\ 1&2&1\end{bmatrix}$ について、次の問いに答えよ。,逆行列の第3列ベクトルを求めよ。,0,0,0
5adaf3ef-fce2-448b-8d92-09738c7fb765,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-(18),3,3,3,3,final_check,行列演算と逆行列,行列 $A=\begin{bmatrix}1&3&1\\ 2&5&2\\ 3&4&0\end{bmatrix}$ について、$\tilde{A}$ をその余因子行列とする。,$\tilde{A}$ の第3列ベクトルを求めよ。,0,0,0
81044bd4-a8dd-4c7c-a657-4884df18f5e3,1c6b12f7-f8d9-4109-bf87-09b3975f7829,8-(19),3,3,3,3,final_check,行列演算と逆行列,行列 $A=\begin{bmatrix}1&3&1\\ 2&5&2\\ 3&4&0\end{bmatrix}$ について、$\tilde{A}$ をその余因子行列とする。,$A\tilde{A}$ を求めよ。,0,0,0
7428af61-24af-405b-a2c4-2aa6b0d5cfbb,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,2-Rep-2,6,1,6,1,final_check,行列演算と逆行列,"$X=\begin{bmatrix}1&1\\ -1&1\\ 2&1\end{bmatrix}, Y=\begin{bmatrix}-1&2\\ 1&-1\end{bmatrix}$ とする。","$XY, YX, XY'X, Y'XY, XYX$ のうちで積が定義されているものをすべて挙げ、それぞれ積を求めよ。",5,5,0
0ca6018c-3a90-4d17-8fad-5b57075337c5,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,4-1-(1),5,1,5,2,final_check,行列演算と逆行列,次の行列に行基本変形を行い、簡約行列に変形せよ。,$\begin{bmatrix}0&-1&2\\ 1&0&-1\\ 0&0&0\end{bmatrix}$,4,3,1
be878f1d-462c-435d-b5ac-f85a5427ea1a,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,4-1-(2),6,1,6,1,final_check,行列演算と逆行列,次の行列に行基本変形を行い、簡約行列に変形せよ。,$\begin{bmatrix}0&0\\ -2&3\end{bmatrix}$,5,5,0
a0ac1a77-3e3a-41d0-8972-7173d71f6b72,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,4-3-(2),6,1,5,2,final_check,行列演算と逆行列,次の行列を何回かの行基本変形で簡約行列に変形し、階数（rank）を求めよ。,$\begin{bmatrix}0&-1&3&6\\ 2&5&3&4\\ 3&7&6&9\end{bmatrix}$,5,3,2
65e7971e-46a6-4756-97d5-9a8101090baa,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,8-1-(2),6,1,5,2,final_check,行列演算と逆行列,"$A=\begin{bmatrix}a&b\\ c&d\end{bmatrix}, \tilde{A}=\begin{bmatrix}d&-b\\ -c&a\end{bmatrix}, B=\begin{bmatrix}e&f\\ g&h\end{bmatrix}$ とする。",$A\tilde{A}$ を計算せよ。,5,3,2
15b123e1-1b25-4429-9f1a-5380b8550426,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,8-2-(1),2,2,3,4,final_check,行列演算と逆行列,以下の行列が正則かどうか調べよ。さらに、正則であれば逆行列を求めよ。,$\begin{bmatrix}e^x&-1\\ 0&e^y\end{bmatrix}$,0,-1,1
d084035c-9aa9-4c47-9128-82d2eeb0f74d,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,2-4-(1),6,1,6,1,final_check,行列演算と逆行列,"$A=\begin{bmatrix}2&-1&1\\ 1&0&-1\end{bmatrix}, B=\begin{bmatrix}-2&1&2\\ 2&3&1\end{bmatrix}, C=\begin{bmatrix}2&-1&0\\ -3&0&2\\ 0&1&4\end{bmatrix}$ のとき、次の行列を求めよ。",$2A-3B$,5,5,0
ffbb9969-1a6d-4081-adbd-40277156417c,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,2-4-(2),6,1,6,2,final_check,行列演算と逆行列,"$A=\begin{bmatrix}2&-1&1\\ 1&0&-1\end{bmatrix}, B=\begin{bmatrix}-2&1&2\\ 2&3&1\end{bmatrix}, C=\begin{bmatrix}2&-1&0\\ -3&0&2\\ 0&1&4\end{bmatrix}$ のとき、次の行列を求めよ。",$2X+3A=B$ を満たす行列 $X$,5,4,1
d500e1d8-af49-4998-be4f-ff358c399060,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,2-4-(3),6,1,6,2,final_check,行列演算と逆行列,"$A=\begin{bmatrix}2&-1&1\\ 1&0&-1\end{bmatrix}, B=\begin{bmatrix}-2&1&2\\ 2&3&1\end{bmatrix}, C=\begin{bmatrix}2&-1&0\\ -3&0&2\\ 0&1&4\end{bmatrix}$ のとき、次の行列を求めよ。",$BC$,5,4,1
e1def786-fa7f-4532-90b9-4a507898314e,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,2-4-(4),6,2,5,2,final_check,行列演算と逆行列,"$A=\begin{bmatrix}2&-1&1\\ 1&0&-1\end{bmatrix}, B=\begin{bmatrix}-2&1&2\\ 2&3&1\end{bmatrix}, C=\begin{bmatrix}2&-1&0\\ -3&0&2\\ 0&1&4\end{bmatrix}$ のとき、次の行列を求めよ。",$A C^t B^t$,4,3,1
35a10094-a786-4b2d-ad67-01dac1b20020,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,2-6-(1),1,2,6,1,final_check,行列演算と逆行列,2次正則行列の逆行列の公式を用いて、次の問いに答えよ。,次の行列の逆行列を求めよ。\n$\begin{bmatrix}\cos\theta&\sin\theta\\ \sin\theta&-\cos\theta\end{bmatrix}$,-1,5,6
55e23c37-c67b-4b92-b0d2-cecda2b8d003,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,8-2-(3),1,2,3,4,final_check,行列演算と逆行列,以下の行列が正則かどうか調べよ。さらに、正則であれば逆行列を求めよ。,$\begin{bmatrix}2&1&3\\ 3&2&5\\ 1&2&3\end{bmatrix}$,-1,-1,0
8dbce057-7207-4256-b4e1-d003c6b874b6,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,8-2-(4),1,2,3,4,final_check,行列演算と逆行列,以下の行列が正則かどうか調べよ。さらに、正則であれば逆行列を求めよ。,$\begin{bmatrix}1&1&-2\\ 3&2&-4\\ -2&0&2\end{bmatrix}$,-1,-1,0
8e6a5606-849e-464f-9231-60ce4009adf4,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,8-2-(5),1,2,2,5,final_check,行列演算と逆行列,以下の行列が正則かどうか調べよ。さらに、正則であれば逆行列を求めよ。,$\begin{bmatrix}0&0&1&0\\ 0&-1&0&0\\ -1&0&2&0\\ 0&1&-1&1\end{bmatrix}$,-1,-3,2
710cdf63-f0df-4928-9dcf-ddd43aca9870,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,8-4-(1),6,1,3,4,final_check,行列演算と逆行列,"$A=\begin{bmatrix}1&1&0\\ 2&3&-2\\ 3&4&-3\end{bmatrix}, B=\begin{bmatrix}0&-1&2\\ 1&0&-3\\ -2&3&0\end{bmatrix}$ に対して以下の問いに答えよ。",$AX=B$ を満たす3次正方行列 $X$ を求めよ。,5,-1,6
e49af18c-5bca-4083-b9e3-c9b16107b8dd,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,8-4-(2),6,1,3,4,final_check,行列演算と逆行列,"$A=\begin{bmatrix}1&1&0\\ 2&3&-2\\ 3&4&-3\end{bmatrix}, B=\begin{bmatrix}0&-1&2\\ 1&0&-3\\ -2&3&0\end{bmatrix}$ に対して以下の問いに答えよ。",$YA=B$ を満たす3次正方行列 $Y$ を求めよ。,5,-1,6
51329873-e480-4a7b-ad22-cab3d03c0063,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,8-6-(2),1,2,2,5,final_check,行列演算と逆行列,正方行列 $A$ が $^tAA=E$ を満たすとき $A$ を直交行列という。以下の行列について答えよ。,$Q=\begin{bmatrix}\sin\theta\cos\varphi&\cos\theta\cos\varphi&-\sin\varphi\\ \sin\theta\sin\varphi&\cos\theta\sin\varphi&\cos\varphi\\ \cos\theta&-\sin\theta&0\end{bmatrix}$ は直交行列であることを示せ。さらに、$Q$ の逆行列を求めよ。,-1,-3,2
c6d26f6c-9a30-4c41-b722-f75d49504031,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,8-6-(3),1,1,2,5,final_check,行列演算と逆行列,正方行列 $A$ が $^tAA=E$ を満たすとき $A$ を直交行列という。以下の行列について答えよ。,問5(3)の行列を $R$ とする。$r\sin\theta \neq 0$ のとき、$R$ の逆行列を求めよ。,0,-3,3
ef3c3825-650f-4b1d-8ea9-32b4fd90befb,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,10-6-(1),2,3,2,5,final_check,行列演算と逆行列,次の行列 $A$ の余因子行列 $\tilde{A}$ を求め、さらに $A$ が正則である場合には $A^{-1}$ を求めよ。\n$A=\begin{bmatrix}0&1&1\\ 1&0&1\\ 1&1&0\end{bmatrix}$,$\tilde{A}$ を求めよ。また $A^{-1}$ を求めよ。,-1,-3,2
e0155d9e-ae69-4029-bde0-2fa7fe0a0fac,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,10-Rep-1-(ii),1,2,2,4,final_check,行列演算と逆行列,"次の2つの行列 $A, B$ を考える。\n$A=\begin{bmatrix}1&0&-1&1\\ 2&1&0&1\\ 1&1&-1&0\\ 0&3&2&1\end{bmatrix}, B=\begin{bmatrix}4&-4&-3&9\\ 3&-1&-4&5\\ 8&5&-8&-9\\ 3&0&4&8\end{bmatrix}$","$A$ の余因子行列の $(4,1)$ 成分を求めよ。さらにそれを用いて、$A^{-1}$ の $(4,1)$ 成分を求めよ。",-1,-2,1
c151012f-03be-4d15-afe4-b5d3cbf5645b,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,6-(14),6,2,3,3,final_check,行列演算と逆行列,"$A=\begin{bmatrix}1&-2\\ -2&3\end{bmatrix}, B=\begin{bmatrix}1&-2\\ 1&-1\end{bmatrix}, M=\begin{bmatrix}A&B\end{bmatrix}$ について、次の問いに答えよ。",$AXA=B$ を満たす行列 $X$ を求めよ。,4,0,4
32c51595-e499-4b4d-bca8-e660f7c8d18b,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,7-(15),6,2,4,4,final_check,行列演算と逆行列,"$a_1=\begin{bmatrix}1\\ 0\\ 2\\ 3\end{bmatrix}, a_2=\begin{bmatrix}1\\ 1\\ -2\\ 2\end{bmatrix}, a_3=\begin{bmatrix}3\\ 2\\ 1\\ 0\end{bmatrix}, b=\begin{bmatrix}1\\ 1\\ 4\\ k\end{bmatrix}$ について、次の問いに答えよ。","$b=c_1a_1+c_2a_2+c_3a_3$ を満たす実数 $c_1,c_2,c_3$ が存在するための $k$ の条件を求めよ。",4,0,4
249e5e92-dc07-4948-b359-1f2ca73b4ecb,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,6-(12),2,2,3,3,final_check,行列演算と逆行列,行列 $\begin{bmatrix}2&1&1\\ 1&-2&0\\ 1&2&1\end{bmatrix}$ について、次の問いに答えよ。,逆行列の第3列ベクトルを求めよ。,0,0,0
c5dd1326-9236-4f2e-88da-64aacdcaca9e,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,8-(18),1,2,2,4,final_check,行列演算と逆行列,行列 $A=\begin{bmatrix}1&3&1\\ 2&5&2\\ 3&4&0\end{bmatrix}$ について、$\tilde{A}$ をその余因子行列とする。,$\tilde{A}$ の第3列ベクトルを求めよ。,-1,-2,1
975e20ba-4a1e-4ba5-a727-ddfe31065a46,bd695d8a-ee24-4ad2-8cc1-4453f8a12f66,8-(19),1,2,2,4,final_check,行列演算と逆行列,行列 $A=\begin{bmatrix}1&3&1\\ 2&5&2\\ 3&4&0\end{bmatrix}$ について、$\tilde{A}$ をその余因子行列とする。,$A\tilde{A}$ を求めよ。,-1,-2,1
de916b04-8e36-4aad-8def-d30f05bdcceb,8e1cb682-c2c6-4c12-bf0b-a22d7f61558b,2-7-(2),5,3,5,2,final_check,行列演算と逆行列,"次を満たす2次正方行列 $P, Q_\theta, R_\theta$ を定めよ。","点 $(x,y)$ を原点の周りに角 $\theta$ だけ回転移動した点を $(x',y')$ とするとき、2点の関係を $\begin{bmatrix}x'\\ y'\end{bmatrix}=Q_\theta\begin{bmatrix}x\\ y\end{bmatrix}$ の形に書き表せ。",2,3,1
d14102d2-45f9-4f57-abd2-3993fca0eeb4,8e1cb682-c2c6-4c12-bf0b-a22d7f61558b,2-Rep-2,6,1,6,2,final_check,行列演算と逆行列,"$X=\begin{bmatrix}1&1\\ -1&1\\ 2&1\end{bmatrix}, Y=\begin{bmatrix}-1&2\\ 1&-1\end{bmatrix}$ とする。","$XY, YX, XY'X, Y'XY, XYX$ のうちで積が定義されているものをすべて挙げ、それぞれ積を求めよ。",5,4,1
49a30b44-40a8-452c-b257-75c6bb08cec1,8e1cb682-c2c6-4c12-bf0b-a22d7f61558b,4-1-(1),6,1,6,2,final_check,行列演算と逆行列,次の行列に行基本変形を行い、簡約行列に変形せよ。,$\begin{bmatrix}0&-1&2\\ 1&0&-1\\ 0&0&0\end{bmatrix}$,5,4,1
6b487cac-ed5c-4f5b-9bf8-96a0cddbaa6f,8e1cb682-c2c6-4c12-bf0b-a22d7f61558b,4-1-(2),6,1,6,1,final_check,行列演算と逆行列,次の行列に行基本変形を行い、簡約行列に変形せよ。,$\begin{bmatrix}0&0\\ -2&3\end{bmatrix}$,5,5,0
e344ae79-f441-4c2c-b813-689ac6ad24f6,8e1cb682-c2c6-4c12-bf0b-a22d7f61558b,4-3-(2),6,1,5,3,final_check,行列演算と逆行列,次の行列を何回かの行基本変形で簡約行列に変形し、階数（rank）を求めよ。,$\begin{bmatrix}0&-1&3&6\\ 2&5&3&4\\ 3&7&6&9\end{bmatrix}$,5,2,3
12172fa7-1f88-410a-b13d-44ca00ee2b75,8e1cb682-c2c6-4c12-bf0b-a22d7f61558b,8-1-(2),6,1,5,2,final_check,行列演算と逆行列,"$A=\begin{bmatrix}a&b\\ c&d\end{bmatrix}, \tilde{A}=\begin{bmatrix}d&-b\\ -c&a\end{bmatrix}, B=\begin{bmatrix}e&f\\ g&h\end{bmatrix}$ とする。",$A\tilde{A}$ を計算せよ。,5,3,2
